name,institution,country
Sandeep Avula,Amazon,USA
Benett Axtell,University of Toronto,Canada
Matthew Aylett,Cereproc Ltd.,UK
Timothy Bickmore,Northeastern University,USA
Benjamin Cowan,University College Dublin,Ireland
Justin Edwards,University College Dublin,Ireland
Joel Fischer,University of Nottingham,UK
Alexander Frummet,University of Regensburg,Germany
Razan Jaber,Stockholm University,Sweden
Mohit Jain,Microsoft,India
Abhishek Kaushik,Dublin City University,Ireland
Dagmar Kern,GESIS,Germany
Johannes Kiesel,Bauhaus-Universität Weimar,Germany
Effie Law,Durham University,UK
Uichin Lee,Korea Advanced Institute of Science and Technology,Korea
Donald McMillan,Stockholm University,Sweden
Selina Meyer,University of Regensburg,Germany
Robert Moore,IBM Research
Roger Moore,The University of Sheffield,UK
Christine Murad,University of Toronto,Canada
Paul Owoicho,University of Glasgow,UK
Gustavo Penha,Delft University of Technology,Netherlands
Daniel Rough,University of Dundee,UK
Sergio Sayago,Universitat de Lleida
Stefan Schaffer,DFKI GmbH,Germany
Stephan Schlögl,MCI Management Center Innsbruck,Austria
Jaisie Sin,University of Toronto,Canada
Paul Thomas,Microsoft,Australia
Ilaria Torre,KTH Royal Institute of Technology,Sweden
Sarah Theres Völkel,Ludwig Maximilian University of Munich,Germany
Sergey Volokhin,Emory University,USA
Jing Wei,University of Melbourne,Australia
